date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jul%202022%2013:09:59%20GMT	https://www.doniasamirghanem.com/robots.txt		(from )
16:10:05	6762/6762	---M--	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202017%2014:17:14%20GMT	https://www.doniasamirghanem.com/	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/index.html	(from )
16:10:05	9559/9559	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/css/normalize.css	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/css/normalize.css	(from https://www.doniasamirghanem.com/)
16:10:06	22111/22111	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/css/bootstrap-responsive.css	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/css/bootstrap-responsive.css	(from https://www.doniasamirghanem.com/)
16:10:06	105957/105957	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/css/bootstrap.min.css	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/css/bootstrap.min.css	(from https://www.doniasamirghanem.com/)
16:10:07	54326/54326	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/css/style.css	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/css/style.css	(from https://www.doniasamirghanem.com/)
16:10:07	33559/33559	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/css/font/fontello.css	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/css/font/fontello.css	(from https://www.doniasamirghanem.com/)
16:10:07	14342/14342	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/js/modernizr.custom.85650.js	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/js/modernizr.custom.85650.js	(from https://www.doniasamirghanem.com/)
16:10:08	2850/2850	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/images/icons/apple-touch-icon.png	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/images/icons/apple-touch-icon.png	(from https://www.doniasamirghanem.com/)
16:10:08	99678/99678	---M--	200	added ('OK')	image/x-icon	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/images/icons/favicon.ico	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/images/icons/favicon.ico	(from https://www.doniasamirghanem.com/)
16:10:08	2871/2871	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/images/icons/apple-touch-icon-72x72.png	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/images/icons/apple-touch-icon-72x72.png	(from https://www.doniasamirghanem.com/)
16:10:08	2948/2948	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Mar%202014%2016:02:48%20GMT	https://www.doniasamirghanem.com/images/icons/apple-touch-icon-114x114.png	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/images/icons/apple-touch-icon-114x114.png	(from https://www.doniasamirghanem.com/)
16:10:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jul%202022%2013:10:03%20GMT	https://www.doniasamirghanem.com/google_analytics_auto.js	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/google_analytics_auto.js	(from https://www.doniasamirghanem.com/)
16:10:09	17458/17458	---M-Z	200	added ('OK')	text/css	etag:%22a5acd78c020477bb231ab1b484dea3f8%22	http://vjs.zencdn.net/c/video-js.css	C:/Users/jxrmo/Desktop/myweb/vjs.zencdn.net/c/video-js.css	(from https://www.doniasamirghanem.com/)
16:10:09	63939/63939	---M-Z	200	added ('OK')	application/javascript	etag:%22b1fb6d997e399b40382a233bbae479a9%22	http://vjs.zencdn.net/c/video.js	C:/Users/jxrmo/Desktop/myweb/vjs.zencdn.net/c/video.js	(from https://www.doniasamirghanem.com/)
16:10:09	6762/6762	---M--	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202017%2014:17:14%20GMT	https://www.doniasamirghanem.com/index.html	C:/Users/jxrmo/Desktop/myweb/www.doniasamirghanem.com/index-2.html	(from https://www.doniasamirghanem.com/)
